PlaneID	Status	Request time	Runaway Time	Turnaround Time
-------	------	------------	-------------	---------------
  1	  L	     0		     0		      0
  6	  L	     3		     4		      1
  8	  L	     4		     6		      2
  9	  L	     5		     8		      3
 11	  L	     6		    10		      4
 13	  L	     7		    12		      5
 15	  L	     8		    14		      6
 17	  L	    10		    16		      6
 20	  L	    11		    18		      7
 21	  L	    14		    20		      6
 23	  L	    16		    22		      6
 25	  L	    20		    24		      4
 27	  L	    21		    26		      5
 29	  L	    22		    28		      6
 32	  L	    27		    30		      3
  2	  D	     0		    32		     32
 33	  L	    32		    34		      2
 35	  L	    35		    36		      1
 37	  L	    36		    38		      2
 39	  L	    37		    40		      3
 41	  E	    40		    42		      2
 42	  L	    42		    44		      2
 44	  L	    44		    46		      2
 46	  L	    47		    48		      1
 48	  L	    49		    50		      1
 50	  L	    50		    52		      2
 52	  L	    51		    54		      3
 54	  L	    52		    56		      4
 56	  L	    54		    58		      4
 59	  L	    55		    60		      5
